Tue May 19 19:40:51 2026    profile

         3485717 function calls (3017295 primitive calls) in 111.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17658    0.004    0.000    0.004    0.000 {built-in method torch._C._get_cudnn_enabled}
     1250    0.003    0.000    0.004    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_contextlib.py:167(__new__)
     2955    0.004    0.000    0.004    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/qos_event.py:117(__enter__)
    17724    0.004    0.000    0.004    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/service.py:82(handle)
     2960    0.003    0.000    0.004    0.000 /usr/lib/python3.10/inspect.py:199(ismethod)
      981    0.003    0.000    0.004    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/callback_groups.py:114(ending_execution)
       40    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      981    0.004    0.000    0.004    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/cv_bridge/core.py:91(cvtype2_to_dtype_with_channels)
       30    0.000    0.000    0.004    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rosidl_generator_py/import_type_support_impl.py:29(import_type_support)
     1962    0.002    0.000    0.004    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:162(header)
     6895    0.004    0.000    0.004    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/waitable.py:26(__init__)
    37216    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     2955    0.002    0.000    0.003    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/qos_event.py:108(get_num_entities)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3/dist-packages/lark/parser_frontends.py:1(<module>)
       30    0.000    0.000    0.003    0.000 /usr/lib/python3.10/importlib/__init__.py:108(import_module)
      354    0.002    0.000    0.003    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_guards.py:1459(detect_fake_mode)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
        1    0.001    0.001    0.003    0.003 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:1322(create_subscription)
     3924    0.002    0.000    0.003    0.000 /home/will/.local/lib/python3.10/site-packages/torch/__init__.py:1536(are_deterministic_algorithms_enabled)
        5    0.000    0.000    0.003    0.001 {built-in method builtins.__import__}
       40    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      981    0.003    0.000    0.003    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:146(_schedule_or_invoke_done_callbacks)
       40    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     2952    0.003    0.000    0.003    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/qos_event.py:86(is_ready)
     3750    0.003    0.000    0.003    0.000 {built-in method torch.is_grad_enabled}
      981    0.003    0.000    0.003    0.000 {method 'long' of 'torch._C.TensorBase' objects}
       35    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
